"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","album_name","mode_name","key_mode","artist_ids","track_popularity"
"320","single","2018-04-27",2018,0.723,0.879,10,0.0405,0.527,127.987,"3EbBselpfD7iuwWB1PL1VA","MC Fioti;J Balvin;Stefflon Don;David Guetta",249374,"Bum Bum Tam Tam - David Guetta Remix","Bum Bum Tam Tam (David Guetta Remix)","minor","A# minor","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1Cs0zKBU1kc0i8ypK3B9ai",9
"321","single","2018-04-26",2018,0.673,0.646,9,0.0833,0.661,179.967,"2ffddy2HSFsmvrE9DNJZwC","Nicky Jam;J Balvin",173374,"X - Spanglish","X (Spanglish)","minor","A minor","1SupJlEpv7RS2tPNRaHViT;1vyhD5VmyZ7KMfW5gqLgo5",12
"322","single","2018-04-20",2018,0.636,0.805,9,0.327,0.908,92.958,"0Y4hwUppbGc8aIBmiTz30A","Liam Payne;J Balvin",196552,"Familiar","Familiar","major","A major","5pUo3fmmHT8bhCyHE52hA6;1vyhD5VmyZ7KMfW5gqLgo5",63
"323","single","2018-04-13",2018,0.789,0.736,2,0.0898,0.782,81.016,"4N9V7YYPoN4DoSnjjfHW1k","J Balvin",249253,"Ambiente","Ambiente","minor","D minor","1vyhD5VmyZ7KMfW5gqLgo5",61
"324","single","2018-03-30",2018,0.684,0.94,11,0.0786,0.497,112.008,"3psphMjNlZ6AH8WZSthmvO","J Balvin;Jeon;Anitta;Dillon Francis",218973,"Machika - Dillon Francis Remix","Machika (Dillon Francis Remix)","minor","B minor","1vyhD5VmyZ7KMfW5gqLgo5;3ECsaSd1fom8coUUkkFzqt;7FNnA9vBm6EKceENgCGRMb;5R3Hr2cnCCjt220Jmt2xLf",43
"325","single","2018-03-23",2018,0.772,0.66,11,0.115,0.422,135.956,"08wJw4VdkKImX4t1vL6MsO","Revol;J Balvin;Bad Bunny;Arcangel;De La Ghetto",284626,"Dime","Dime","minor","B minor","2wYOpkTJZGByNEOjEnSmoW;1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X;4SsVbpTthjScTS7U2hmr1X;3EiLUeyEcA6fbRPSHkG5kb",60
"326","single","2018-03-16",2018,0.895,0.75,1,0.0401,0.434,125.005,"5VM6jGnzxcnpEKqJDyggcP","MC Fioti;J Balvin;Stefflon Don;Jax Jones",296820,"Bum Bum Tam Tam - Jax Jones Dub","Bum Bum Tam Tam (Jax Jones Dub)","major","C# major","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;4Q6nIcaBED8qUel8bBx6Cr",0
"327","single","2018-03-16",2018,0.895,0.75,1,0.0401,0.434,125.005,"6iUXOPUgaIAc8OmpPruLaf","MC Fioti;J Balvin;Stefflon Don;Jax Jones",296820,"Bum Bum Tam Tam - Jax Jones Dub","Bum Bum Tam Tam (Jax Jones Dub)","major","C# major","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;4Q6nIcaBED8qUel8bBx6Cr",31
"328","single","2018-03-16",2018,0.874,0.789,0,0.036,0.454,125.036,"5NOuNThafeyeuqjD4q6fzt","MC Fioti;Future;J Balvin;Stefflon Don;Juan Magán;Jax Jones",208909,"Bum Bum Tam Tam - Jax Jones Remix","Bum Bum Tam Tam (Jax Jones Remix)","major","C major","2W6kbe0nm96COrHzNmfLLd;1RyvyyTE3xzB2ZywiAwp0i;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1ackd5XprZEkH3McKbQD51;4Q6nIcaBED8qUel8bBx6Cr",44
"329","single","2018-03-16",2018,0.874,0.789,0,0.036,0.454,125.036,"3VaHcBxBGqmZYqjIuRTyaj","MC Fioti;J Balvin;Stefflon Don;Future;Juan Magán;Jax Jones",208909,"Bum Bum Tam Tam - Jax Jones Remix","Bum Bum Tam Tam (Jax Jones Remix)","major","C major","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1RyvyyTE3xzB2ZywiAwp0i;1ackd5XprZEkH3McKbQD51;4Q6nIcaBED8qUel8bBx6Cr",28
"330","single","2018-03-16",2018,0.877,0.736,1,0.0418,0.492,125.018,"3d77lc9XCqUp9g5gOyRtD8","MC Fioti;J Balvin;Stefflon Don;Future;Juan Magán;Jax Jones",296803,"Bum Bum Tam Tam - Jax Jones Alternate Edit","Bum Bum Tam Tam (Jax Jones Remix)","major","C# major","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1RyvyyTE3xzB2ZywiAwp0i;1ackd5XprZEkH3McKbQD51;4Q6nIcaBED8qUel8bBx6Cr",2
"331","single","2018-03-16",2018,0.877,0.736,1,0.0418,0.492,125.018,"5Jee14Nvx5t5eJukJSbuAR","MC Fioti;J Balvin;Stefflon Don;Future;Juan Magán;Jax Jones",296803,"Bum Bum Tam Tam - Jax Jones Remix","Bum Bum Tam Tam (Jax Jones Remix)","major","C# major","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1RyvyyTE3xzB2ZywiAwp0i;1ackd5XprZEkH3McKbQD51;4Q6nIcaBED8qUel8bBx6Cr",1
