"","id","name","popularity","followers.total","genres","type","total_num_songs"
"207","2Waw2sSbqvAwK8NwACNjVo","Bo Burnham",81,1217141,"comic","billboard",96
"208","5G9kmDLg3OeUyj8KVBLzbu","mike.",69,448692,"indie pop rap;pop rap;rap;rhode island rap","billboard",167
"209","0QHgL1lAIqAw0HtD7YldmP","DJ Khaled",81,6533628,"hip hop;miami hip hop;pop;pop rap;rap;southern hip hop;trap","billboard",510
"210","3l0CmX0FuQjFxr8SK7Vqag","Clairo",81,2866516,"bedroom pop;indie pop;pop","billboard",56
"211","6Q192DXotxtaysaqNPy5yR","Amy Winehouse",78,7464719,"british soul;neo soul","billboard",241
"212","2cWZOOzeOm4WmBJRnD5R7I","Normani",75,1483518,"dance pop;pop;post-teen pop;r&b;urban contemporary","billboard",19
"213","03r4iKL2g2442PT9n2UKsx","Beastie Boys",71,2067469,"alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock","billboard",350
"214","0nJUwPwC9Ti4vvuJ0q3MfT","John Prine",65,391419,"alternative country;country rock;folk;folk rock;indie folk;mellow gold;new americana;roots rock;singer-songwriter","billboard",732
"215","1CYsQCypByMVgnv17qsSbQ","Crosby, Stills, Nash & Young",64,1269347,"album rock;art rock;blues rock;classic rock;country rock;folk;folk rock;mellow gold;psychedelic rock;rock;roots rock;soft rock;supergroup","billboard",155
"216","2gFsmDBM0hkoZPmrO5EdyO","Tedeschi Trucks Band",56,300699,"blues rock;country rock;double drumming;electric blues;funk;jam band;mellow gold;modern blues;modern blues rock;roots rock","billboard",147
