"","id","name","popularity","followers.total","genres","type","total_num_songs"
"154","1nPV9GemEPQyWiFKF9IcL1","Twenty II",27,5,NA,"non_billboard",NA
"155","4gpDA7R5796e6zbvZxGNga","Shawnna",54,103000,"chicago rap;hip pop;pop rap","non_billboard",NA
"156","1Oa0bMld0A3u5OTYfMzp5h","Nate Dogg",79,1151350,"g funk;gangster rap;hip hop;pop rap;rap;west coast rap","non_billboard",NA
"157","1J2VVASYAamtQ3Bt8wGgA6","Ja Rule",73,1347246,"dance pop;east coast hip hop;gangster rap;hip hop;hip pop;pop rap;queens hip hop;rap;urban contemporary","non_billboard",NA
"158","3LIJJJkO7R5RasRwt7xIn5","Mystikal",61,510273,"crunk;dirty south rap;gangster rap;hip hop;hip pop;new orleans rap;pop rap;rap;southern hip hop;trap","non_billboard",NA
"159","1g8uGVofjr2ApBrI8OZhJf","DJ Clue",46,197666,"east coast hip hop;hardcore hip hop;hip hop;hip pop","non_billboard",NA
"160","1kjO72M26jZkv0aaGxJaov","Eric Benét",55,541833,"contemporary r&b;neo soul;quiet storm;r&b;urban contemporary","non_billboard",NA
"161","545idYhdloaSlLGBY8E9u2","Cameo",58,506591,"disco;funk;motown;popping;post-disco;quiet storm;soul;urban contemporary","non_billboard",NA
"162","6V03b3Y36lolYP2orXn8mV","98º",65,358221,"boy band;dance pop","non_billboard",NA
"163","53B8dEQzmtefvkdCAkO0YR","Krayzie Bone",62,261491,"gangster rap;ohio hip hop","non_billboard",NA
"164","47AKGI5jfLa8uWKA0QSMs7","Wishbone",43,213,NA,"non_billboard",NA
"165","1255GTUKNCLCTvH9ctD4cT","Dru Hill",60,1151490,"contemporary r&b;hip hop;hip pop;neo soul;quiet storm;r&b;southern hip hop;urban contemporary","non_billboard",NA
"166","2Ur1MpOU6IZEVyPvs2IBUW","Arlo",35,338,NA,"non_billboard",NA
"167","19Nvb77ZQIw8gff2ZYg3cS","Cutmore",33,406,NA,"non_billboard",NA
"168","2FXKV7ijhHUQho7OQLn37f","Shawni",39,389,NA,"non_billboard",NA
"169","2ExGrw6XpbtUAJHTLtUXUD","Stefflon Don",72,932694,"dancehall;pop;pop rap;uk dancehall;uk hip hop","non_billboard",NA
"170","7EjxNoVjXo7gL73F2EdXVA","Empire Cast",59,570918,"dance pop;r&b;urban contemporary","non_billboard",NA
"171","7dc6hUwyuIhrZdh80eaCEE","Fedde Le Grand",65,340294,"dance pop;disco house;dutch house;edm;electro house;house;pop dance;progressive electro house;progressive house;tropical house","non_billboard",NA
